Damara,English
"Je-ho-va ǃKhū ǀgai-sa tsî du a ǁkhā, tsî ûib di mā-ao tsî ǃnâb di Ku-ru-ao. Ku-rus ge Sa-du ǀgai-ba ra ǁgau da; sa-du kai-tsēs nēn hoa-na nî ǁgau.","Jehovah our God, exalted in might, Creator of life and Provider of light. Creation speaks of your power so grand; The heavens and earth forever stand."
"ǂHa-nu-ai as ge sa-du di tron-sa. Sa-du ǂha-nu-ga hoa-ǁae ra ǂan-ǂan da. Tsēs hoa-sa da sa-du mîs ǃnâ ra mû, sa-du di gā-ai-sib ra mâ-ǂoa.","Your heavenly throne, on justice it stands. To us you make known all your righteous commands. And as we turn to your Word, we can see Your wisdom revealed so brilliantly."
"Tsî ǃgō-sa-se sa-du di kai ǀnam-ma. Tā-tsē da a mā-da-wa ǁoa kai ǀkhaeb ge. Sa-du ǀgau-gu tsî ǃgôa-he-sa ǀon-sa, tsî da nî-ra koa du ǂkhîb hoab ǀkha.","The greatest of all is your perfect love. Beyond all compare are your gifts from above. Your attributes and your glorious name, With joy and with zeal, we will proclaim."
"Bu-ru-xa a E-lob— Hoa-na ge a ku-ru-ba. Mâ-ǁaes hoas ǃnâ nî hâ-ba— Je-ho-va tib ǀon hâ. ǃGôa-sa tsî da ǂnī-sa, sa-du ǀhao-hâb ǃnâ hâ-sa. ǃHaos tsî ǁaes tsîn hoa-na xu, sa-du xa da nî ǃhoa. (ǁNAEǀHAOS) Je-ho-va, Je-ho-va, ǀkha-ra E-lo i ǀkhai. ǀHom-mi ǃnâs kas E-lo i ǀkhai tsî ǃhūb-aib ais tsî-na. Sa-du ǀgui du a hoa-ǀgai-xa, nēs xan ge hoa-na ǂan. Je-ho-va, Je-ho-va, ǀnî hâ E-lo-i ge a ǀkhai.","The living and true God— The God of all creation In ev’ry generation— Jehovah is your name. We’re honored and we’re proud To be your congregation. In ev’ry tribe and nation, Your glory we proclaim. (CHORUS) Jehovah, Jehovah, There is no God like you. There’s no other in the heavens Or on the earth below. You alone are God Almighty, And this all men must know. Jehovah, Jehovah, We have no other God but you."
"Sa-du ra ī kai da, ǂgao du ra kha-mi hoa-ǁae, Sa-du ǂhâ-ba hâ kha-mi— Je-ho-vab ge a ǁî. Sa-du ǃhoa-aon a-se, nē-sa du ge ī-ǁkhā-kai. Kai-se da ge a ǃgôa-sa Sa-du di khoen a-se. (ǁNAEǀHAOS) Je-ho-va, Je-ho-va, ǀkha-ra E-lo i ǀkhai. ǀHom-mi ǃnâs kas E-lo i ǀkhai tsî ǃhūb-aib ais tsî-na. Sa-du ǀgui du a hoa-ǀgai-xa, nēs xan ge hoa-na ǂan. Je-ho-va, Je-ho-va, ǀnî hâ E-lo-i ge a ǀkhai.","You cause us to become Whatever you desire, To do as you require— Jehovah is your name. And Witnesses for you Is what you’ve kindly named us. We’re honored you have claimed us— A people for your name. (CHORUS) Jehovah, Jehovah, There is no God like you. There’s no other in the heavens Or on the earth below. You alone are God Almighty, And this all men must know. Jehovah, Jehovah, We have no other God but you."
"Si-da E-lo-tse, sa-du ge ǂkhîb, ǃâu-ba-sen-sa ra mā. Nē ǃâu-ba-sens xa da ge hoa khoe-na nî-ra mî-ba. Ûib ǃgom-si-gu ga hā-ǂam da o, o da ge ra ǃao kai-he. ǃÂu-ba-sens hî-na ra ǃnâs ge ǁkha-wa go ǃkhae-ba da. (ǁNAEǀHAOS) Si-da ǀgai, si-da ǃâu-ba-sen, tsî ǂgom-ǃgâ. ǂHâ da hâ-na du ge ra mā. Ao-ǁnâs ǃnâs, ǁkhā-ǁkhās ǃnâs, ǂgom-ǃgâ-si-ba da ge ū-hâ sa-du di huib ǃnâ.","O Jehovah, you have given us a hope that we hold dear. It’s a hope we find so thrilling we want the world to hear. But at times this life’s anxieties are the cause of fears within, And the hope that burned so brightly has suddenly grown dim. (CHORUS) You’re our strength, you’re our hope, you’re our confidence. Whatever we lack, you supply. When we preach, when we teach, we have confidence because it’s on you we rely."
"To-xo-ba du ǁkhā-ǁkhā da re î, da tā sa-do ǀu-ru. Sa-du ge si-da ra ǁkhae-ǂgao, ǃgom-si-gu ga hā o. Nē ǂâi-di ge ǃnâb hî-na go ro, kā-ba ǁkha-wa ra ǃnâ kai. Nēs ǀgai-ba ra mā da î da Sa-du di ǀon-sa koa. (ǁNAEǀHAOS) Si-da ǀgai, si-da ǃâu-ba-sen, tsî ǂgom-ǃgâ. ǂHâ da hâ-na du ge ra mā. Ao-ǁnâs ǃnâs, ǁkhā-ǁkhās ǃnâs, ǂgom-ǃgâ-si-ba da ge ū-hâ sa-du di huib ǃnâ.","So Jehovah, please instill in us a heart that won’t forget, For you’ve always been our comfort when troubled times we’ve met. And these thoughts that lift and strengthen us can revive that dying flame, For they fill our hearts with courage to speak about your name. (CHORUS) You’re our strength, you’re our hope, you’re our confidence. Whatever we lack, you supply. When we preach, when we teach, we have confidence because it’s on you we rely."
"Je-ho-vab ge ti ǃûi-ao-ba; ǁîb dao-ǁgau-sa ta nî sao. ǁÎb ge ti ǂgaob ǂhan-sen-de a ǂan; ǁÎb ge nî-ra kō-ǃgâ te. Tsî a-mab ǃnâ ra ǂgae-ǂgui te, ti-ta ǃûi-ǃgâ tsî ra ǀkhae. Tsîb hoa-ǁae ǀnam-mi ǃnâ ra dao-ǁgau te. Ti ǀom-sab ra ǃûi tsî ǀkhae. Tsîb ge ǀnam-mi ǃnâ ra dao-ǁgau te, ti ǀom-sab ra ǃûi tsî ǀkhae.","Jehovah God is my Shepherd; I’ll follow where he will lead. He knows my hopes and my heart’s desire; He knows what I truly need. To watered pastures he leads me, To places secure and blessed. And he guides me always with loyal love To where I find peace and rest. He guides me always with loyal love To where I find peace and rest."
"Sa-du dao-ǁgau di ge a ǃgâi, tsî sa-du ǂha-nu-ai-sib. Hoa-ǁae ta sa-du ǀons ǃnâ nî ǃgû; tsî ǂgom-ǂgom-sa-se nî hâ. ǃKhae-nab ǃnâb ra kō-ǃgâ te o; ǃgom-si-gab ra ǃkham-ba te. Je-ho-va E-lob ge ti-ta nî hui, ǁîb ti ǀhō-sa a-ma-ga. Je-ho-va E-lob ge nî hui te, ǁîb ti ǀhō-sa a-ma-ga.","Refreshing are all your pathways, The ways of your righteousness. For your name’s sake never let me stray From walking in faithfulness. In valleys deep in the shadows, Assured by your staff and rod, I will fear no danger of lasting harm, For you are my Friend and God. I fear no danger of lasting harm, For you are my Friend and God."
"Je-ho-vab ge ti ǃûi-ao-ba, ǁîb mî-mā-de ta nî sao. Ti E-lob ge nî-ra ǁkhae-ǂgao te tsî tsam-tsî-ǃnâ-na nî hui. Sa-du hoa-ǀgai-xa a-ma-ga ta sa-du ǃnâ ra ǂgom-ǃgâ. ǁÎb ǀkhom-xa-ǂgao-si-gu ge kai-se ǃgâi. ǃKhū-ba ta ge nî ǃoa-ba. ǁÎb ǀkhom-xa-ǂgao-si-gu kai-se ǃgâi. ǃKhū-ba ta ge nî ǃoa-ba.","Jehovah, you are my Shepherd; I follow where you will lead. You strengthen me, and you give me rest; You give all I truly need. As you most surely are living, So sure is my hope in you. May your loyal love and your care for me Pursue me my whole life through. Your loyal love and your care for me Pursue me my whole life through."
